brand,model,engine_size,engine_size_unit,engine_power,engine_power_unit,engine_aspiration,injection_type,year,mileage,mileage_unit,cylinders,body_type,transmission_type,transmission_technology,transmission_gears,energy_source,fuel_type,propulsion_system,drive_type,condition,color,doors,fuel_consumption,fuel_consumption_unit,equipment
bmw,5 series,,,,,,,1997,25000,,,,automatic,,,,petrol,,,new,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
fiat,punto,,,,,,,2011,120000,,,,manual,,,,petrol,,,excellent,,5,,,"[""alloy_wheels"", ""rear_camera""]"
volkswagen,jetta,,,,,,,2020,80000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
mini,cooper,,,,,,,2003,25000,,,,manual,,,,petrol,,,good,,,,,"[""electric_windows"", ""leather_seats""]"
ford,fiesta,,,,,,,2019,110000,,,,manual,,,,diesel,,,,,,,,"[""alloy_wheels"", ""rear_camera""]"
citroen,c-crosser,,,,,,,2013,150000,,,,manual,,,,diesel,,,good,,5,,,"[""airbags"", ""bluetooth"", ""parking_sensors"", ""speed_limiter""]"
hyundai,tucson,,,,,,,2020,60000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
autres,autres,,,,,,,2006,170000,,,,manual,,,,diesel,,,very good,,,,,"[""air_conditioning""]"
audi,rs4,,,,,,,2018,0,,,,automatic,,,,petrol,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
mercedes-benz,c class,,,,,,,2002,450000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""rear_camera"", ""speed_limiter""]"
dacia,logan,,,,,,,2016,85000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""parking_sensors"", ""speed_limiter""]"
kia,rio,,,,,,,2015,160000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""sunroof""]"
volkswagen,caddy,,,,,,,2019,180000,,,,manual,,,,diesel,,,excellent,,3,,,"[""leather_seats"", ""rear_camera""]"
dacia,duster,,,,,,,2019,100000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
mercedes-benz,220,,,,,,,2016,500000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera""]"
mercedes-benz,220,,,,,,,1998,40000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""electric_windows""]"
audi,q3,,,,,,,2020,60000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
land rover,range rover evoque,,,,,,,2020,95000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
mercedes-benz,a class,,,,,,,2020,100000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""bluetooth"", ""electric_windows""]"
toyota,c-hr,,,,,,,2021,45000,,,,automatic,,,hybrid,,,,excellent,,5,,,"[""bluetooth"", ""rear_camera""]"
audi,a3,,,,,,,2009,15000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""speed_limiter""]"
fiat,500,,,,,,,2018,65000,,,,automatic,,,,petrol,,,excellent,,3,,,"[""leather_seats"", ""rear_camera""]"
chevrolet,camaro,,,,,,,2021,20000,,,,automatic,,,,petrol,,,excellent,,3,,,"[""rear_camera""]"
audi,q7,,,,,,,2018,120000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""alloy_wheels"", ""electric_windows""]"
volkswagen,tiguan,,,,,,,2016,20000,,,,manual,,,,diesel,,,very good,,,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
renault,clio,,,,,,,2013,170000,,,,manual,,,,petrol,,,very good,,5,,,"[""abs"", ""airbags"", ""alloy_wheels""]"
alfa romeo,giulietta,,,,,,,2021,100000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
land rover,range rover evoque,,,,,,,2018,150000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter"", ""sunroof""]"
seat,leon,,,,,,,2008,250000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""parking_sensors"", ""speed_limiter""]"
citroen,berlingo,,,,,,,2013,190000,,,,manual,,,,diesel,,,very good,,5,,,"[""electric_windows"", ""rear_camera""]"
fiat,tipo,,,,,,,2019,5000,,,,manual,,,,diesel,,,very good,,5,,,"[""air_conditioning"", ""airbags"", ""bluetooth""]"
peugeot,308,,,,,,,2011,200000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""electric_windows"", ""onboard_computer"", ""parking_sensors""]"
toyota,corolla,,,,,,,2005,200000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""bluetooth""]"
bmw,5 series,,,,,,,2018,100000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
volkswagen,golf,,,,,,,2012,170000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""speed_limiter""]"
volkswagen,cc,,,,,,,2016,190000,,,,manual,,,,diesel,,,very good,,5,,,"[""bluetooth""]"
bentley,bentayga,,,,,,,2022,20000,,,,automatic,,,,petrol,,,excellent,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
audi,q5,,,,,,,2017,200000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""leather_seats"", ""rear_camera""]"
volkswagen,golf,,,,,,,1986,0,,,,manual,,,,diesel,,,excellent,,,,,"[""leather_seats"", ""rear_camera""]"
ds,3 crossback,,,,,,,2020,75000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""bluetooth"", ""rear_camera""]"
bmw,3 series,,,,,,,2019,130000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""electric_windows"", ""leather_seats""]"
ford,kuga,,,,,,,2021,100000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
volkswagen,golf,,,,,,,1999,35000,,,,manual,,,,petrol,,,very good,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""electric_windows"", ""speed_limiter"", ""sunroof""]"
fiat,500,,,,,,,2022,45000,,,,automatic,,,,petrol,,,excellent,,3,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
fiat,palio,,,,,,,2001,25000,,,,manual,,,,diesel,,,good,,5,,,"[""abs"", ""airbags"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""onboard_computer""]"
hyundai,ix35,,,,,,,2013,200000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
renault,clio,,,,,,,2008,250000,,,,manual,,,,petrol,,,very good,,5,,,"[""electric_windows""]"
hyundai,santa fe,,,,,,,2015,190000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
ford,focus,,,,,,,2012,180000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""navigation"", ""parking_sensors""]"
renault,kangoo,,,,,,,2018,130000,,,,manual,,,,diesel,,,very good,,,,,"[""electric_windows"", ""leather_seats""]"
renault,laguna,,,,,,,2007,0,,,coupe,manual,,,,diesel,,,new,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
jaguar,xf,,,,,,,2019,140000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""bluetooth"", ""rear_camera""]"
seat,leon,,,,,,,2010,190000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
mitsubishi,l200,,,,,,,2018,250000,,,,manual,,,,diesel,,,very good,,5,,,"[""airbags"", ""electric_windows"", ""leather_seats""]"
volkswagen,tiguan,,,,,,,2018,200000,,,,automatic,,,fossil,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""electric_windows"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
ford,fiesta,,,,,,,2016,140000,,,,manual,,,,diesel,,,excellent,,5,,,"[""alloy_wheels""]"
renault,19,,,,,,,1993,200000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""alloy_wheels"", ""bluetooth""]"
dacia,logan mcv,,,,,,,2014,160000,,,,manual,,,,diesel,,,,,5,,,"[""bluetooth"", ""rear_camera""]"
kia,picanto,,,,,,,2006,170000,,,,manual,,,,petrol,,,good,,5,,,"[""alloy_wheels"", ""leather_seats""]"
hyundai,i40,,,,,,,2012,200000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""parking_sensors"", ""speed_limiter""]"
volkswagen,golf,,,,,,,2002,400000,,,,manual,,,,diesel,,,good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""central_locking"", ""electric_windows"", ""esp""]"
renault,kangoo,,,,,,,2014,140000,,,,manual,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
renault,clio,,,,,,,2005,350000,,,,manual,,,,petrol,,,fair,,5,,,"[""airbags""]"
mini,ABSTAIN,,,,,,,2016,100000,,,,automatic,,,fossil,petrol,,,very good,,3,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
fiat,uno,,,,,,,1996,180000,,,,manual,,,,petrol,,,very good,,5,,,"[""alloy_wheels"", ""electric_windows""]"
mercedes-benz,cls,,,,,,,2012,250000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera""]"
ford,fiesta,,,,,,,2019,130000,,,,manual,,,,diesel,,,good,,,,,"[""bluetooth"", ""rear_camera""]"
dacia,dokker,,,,,,,2016,200000,,,,manual,,,,petrol,,,very good,,5,,,"[""leather_seats"", ""rear_camera""]"
ford,c-max,,,,,,,2014,180000,,,,manual,,,,diesel,,,very good,,5,,,"[""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
renault,kangoo,,,,,,,2019,130000,,,,manual,,,,petrol,,,,,,,,"[""electric_windows"", ""rear_camera""]"
volkswagen,jetta,,,,,,,1989,30000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels""]"
dacia,logan,,,,,,,2006,20000,,,,manual,,,,diesel,,,excellent,,5,,,"[""central_locking"", ""electric_windows""]"
mercedes-benz,b class,,,,,,,2012,170000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
honda,accord,,,,,,,2007,200000,,,,automatic,,,,petrol,,,excellent,,5,,,"[""electric_windows"", ""leather_seats""]"
honda,cr-v,,,,,,,2014,160000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
jeep,cherokee,,,,,,,2017,160000,,,,automatic,,,,diesel,,,very good,,5,,,"[""electric_windows"", ""leather_seats""]"
mazda,mx6,,,,,,,2004,250000,,,,manual,,,,diesel,,,fair,,,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""cruise_control"", ""electric_windows"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""rear_camera""]"
dacia,duster,,,,,,,2022,100000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
volkswagen,passat,,,,,,,2004,0,,,,manual,,,,diesel,,,very good,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""electric_windows"", ""leather_seats""]"
renault,captur,,,,,,,2021,45000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
mercedes-benz,gla class,,,,,,,2014,170000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
fiat,fiorino,,,,,,,2018,110000,,,,manual,,,,diesel,,,excellent,,5,,,"[""bluetooth"", ""leather_seats""]"
peugeot,3008,,,,,,,2019,100000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
peugeot,308,,,,,,,2017,130000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
mercedes-benz,608,,,,,,,2001,5000,,,,manual,,,,diesel,,,good,,,,,"[""alloy_wheels"", ""rear_camera""]"
renault,kangoo,,,,,,,2017,150000,,,,manual,,,,diesel,,,excellent,,,,,"[""air_conditioning"", ""alloy_wheels"", ""electric_windows"", ""rear_camera""]"
renault,fluence,,,,,,,2010,200000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
land rover,range rover sport,,,,,,,2021,65000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
renault,kangoo,,,,,,,2014,190000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""cruise_control"", ""electric_windows"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
mercedes-benz,c class,,,,,,,2019,130000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
renault,clio,,,,,,,2018,0,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""speed_limiter""]"
mitsubishi,l200,,,,,,,2013,190000,,,,manual,,,,diesel,,,very good,,3,,,"[""bluetooth"", ""leather_seats""]"
bmw,5 series,,,,,,,2010,250000,,,,automatic,,,,diesel,,,very good,,3,,,"[""leather_seats"", ""rear_camera""]"
jaguar,xe,,,,,,,2018,60000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
ford,fusion,,,,,,,2016,110000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""airbags"", ""cruise_control"", ""electric_windows"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
renault,clio,,,,,,,2021,75000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
mercedes-benz,220,,,,,,,2007,250000,,,,automatic,,,,diesel,,,good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""parking_sensors"", ""speed_limiter""]"
volkswagen,golf,,,,,,,2001,350000,,,,manual,,,,diesel,,,good,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""electric_windows"", ""esp"", ""onboard_computer""]"
nissan,x-trail,,,,,,,2008,350000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""rear_camera""]"
citroen,c3,,,,,,,2006,25000,,,,manual,,,,diesel,,,,,,,,"[""air_conditioning""]"
fiat,punto,,,,,,,2010,20000,,,,manual,,,,diesel,,,excellent,,5,,,"[""leather_seats"", ""rear_camera""]"
dacia,dokker,,,,,,,2019,0,,,,manual,,,,petrol,,,excellent,,,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""parking_sensors"", ""speed_limiter""]"
volkswagen,polo,,,,,,,1999,200000,,,,manual,,,,petrol,,,very good,,5,,,"[""bluetooth"", ""rear_camera""]"
audi,a5,,,,,,,2018,85000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""rear_camera""]"
renault,19,,,,,,,1994,100000,,,,manual,,,,diesel,,,excellent,,5,,,"[""alloy_wheels"", ""bluetooth""]"
renault,clio,,,,,,,2015,120000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
peugeot,208,,,,,,,2013,110000,,,,manual,,,,petrol,,,very good,,5,,,"[""electric_windows""]"
ford,escort,,,,,,,1997,0,,,,manual,,,,petrol,,,very good,,5,,,"[""bluetooth"", ""leather_seats""]"
ford,focus,,,,,,,2010,190000,,,,manual,,,,diesel,,,very good,,5,,,"[""air_conditioning""]"
hyundai,accent,,,,,,,2017,70000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""leather_seats""]"
renault,clio,,,,,,,2019,95000,,,,manual,,,,diesel,,,excellent,,5,,,"[""leather_seats"", ""rear_camera""]"
hyundai,santa fe,,,,,,,2009,200000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""speed_limiter""]"
volkswagen,t-roc,,,,,,,2018,150000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
audi,a1,,,,,,,2019,85000,,,,automatic,,,fossil,petrol,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter"", ""sunroof""]"
renault,clio,,,,,,,2012,160000,,,,manual,,,,petrol,,,very good,,5,,,"[""alloy_wheels"", ""rear_camera""]"
dacia,lodgy,,,,,,,2018,15000,,,,manual,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows""]"
dacia,logan mcv,,,,,,,2022,40000,,,,manual,,,,diesel,,,new,,5,,,"[""rear_camera""]"
bmw,m2,,,,,,,2024,0,,,,automatic,,,,petrol,,,new,,3,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter"", ""sunroof""]"
peugeot,206,,,,,,,2003,500000,,,,manual,,,,petrol,,,good,,5,,,"[""bluetooth"", ""electric_windows"", ""rear_camera""]"
honda,civic,,,,,,,1997,400000,,,,automatic,,,,petrol,,,very good,,5,,,"[""electric_windows"", ""leather_seats""]"
volkswagen,golf,,,,,,,2018,120000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
opel,corsa,,,,,,,2024,5000,,,,manual,,,,petrol,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""speed_limiter""]"
volkswagen,jetta,,,,,,,1987,5000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""electric_windows""]"
jeep,renegade,,,,,,,2016,170000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
opel,astra,,,,,,,2019,55000,,,,manual,,,,diesel,,,very good,,5,,,"[""bluetooth"", ""electric_windows"", ""parking_sensors""]"
skoda,kodiaq,,,,,,,2020,20000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
