Brand,Model,Year,Condition,Mileage,Gearbox,Fiscal Power,Fuel,Equipment,Number of Doors,Origin,First Owner,Location,Sector,Price
Audi,etron_s_line,2016,Very Good,200 000 - 249 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Imported New,No,Meknès,Marjane 2,
Mercedes-Benz,Classe C,2012,Good,250 000 - 299 999,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking']",5.0,Customs-cleared car,No,Casablanca,Sidi Maarouf,170000.0
Toyota,RAV 4,2019,Excellent,150 000 - 159 999,Automatic,9 CV,Diesel,"['Alloy Wheels', 'CD/MP3/Bluetooth']",5.0,WW in Morocco,Yes,Marrakech,Av Mohammed V,220000.0
Audi,Q5,2016,Excellent,150 000 - 159 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Casablanca,Aïn Chock,295000.0
Peugeot,206+,2011,Excellent,110 000 - 119 999,Manual,7 CV,Petrol,"['CD/MP3/Bluetooth', 'Electric Windows']",5.0,WW in Morocco,No,Temara,Abbadi,62000.0
Peugeot,308,2020,Very Good,70 000 - 74 999,Automatic,6 CV,Diesel,"['Leather Seats', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,Yes,Casablanca,2 Mars,197000.0
Citroen,C3,2007,Good,200 000 - 249 999,Manual,6 CV,Diesel,"['Airbags', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Mohammedia,Al Qods,52000.0
Peugeot,407,2007,Good,40 000 - 44 999,Manual,8 CV,Diesel,"['Rear Camera', 'Electric Windows']",5.0,WW in Morocco,No,Bouznika,Other,67000.0
Mercedes-Benz,190,1991,Good,0 - 4 999,Manual,8 CV,Diesel,"['Alloy Wheels', 'Rear Camera']",3.0,Customs-cleared car,No,Temara,Abbadi,48000.0
Peugeot,206 CC,2008,Good,200 000 - 249 999,Manual,6 CV,Petrol,"['Air Conditioning', 'Parking Sensors', 'Central Locking']",5.0,WW in Morocco,No,Mohammedia,Hassania 2,45.0
Fiat,500,2022,Excellent,50 000 - 54 999,Automatic,6 CV,Petrol,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",3.0,WW in Morocco,Yes,Agadir,Av des Far,143000.0
Fiat,Punto,1994,Very Good,25 000 - 29 999,Manual,6 CV,Petrol,"['Electric Windows', 'Leather Seats']",5.0,Customs-cleared car,No,Sidi Kacem,Toute la ville,35000.0
Toyota,Corolla,2018,Very Good,95 000 - 99 999,Manual,5 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Agadir,Hay Dakhla,
Peugeot,806,1996,Excellent,0 - 4 999,Manual,8 CV,Diesel,"['CD/MP3/Bluetooth', 'Electric Windows']",,,,Rabat,Aakkari,
Autres,Autres,2017,Very Good,15 000 - 19 999,Automatic,8 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Tanger,El Majd,220000.0
Volkswagen,GOLF 7,2016,Excellent,140 000 - 149 999,Manual,6 CV,Diesel,"['Leather Seats', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,No,Ksar el-Kebir,Toute la ville,195000.0
Nissan,Qashqai,2010,Good,300 000 - 349 999,Manual,8 CV,Diesel,"['Leather Seats', 'CD/MP3/Bluetooth']",5.0,Imported New,No,Mohammedia,Partie Est,
Mercedes-Benz,Classe E,2023,Excellent,45 000 - 49 999,Automatic,8 CV,Diesel,"['Electric Windows', 'Electric Windows']",5.0,WW in Morocco,,Tanger,City Center,725000.0
Mercedes-Benz,Classe C,2002,Good,100 000 - 109 999,Manual,9 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,No,Rabat,Other,90000.0
Fiat,Panda,2011,Excellent,140 000 - 149 999,Manual,6 CV,Petrol,"['ABS', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Hay Inara,50000.0
Chery,A113,2010,Very Good,150 000 - 159 999,Manual,7 CV,Petrol,"['Airbags', 'Central Locking', 'Electric Windows']",5.0,,No,Temara,Other,34999.0
Land Rover,Velar,2018,Excellent,100 000 - 109 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Meknès,Zerhounia,
Hyundai,Tucson,2018,Very Good,150 000 - 159 999,Automatic,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Meknès,Marjane 2,225000.0
Peugeot,308,2010,Excellent,10 000 - 14 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Leather Seats', 'Electric Windows']",5.0,WW in Morocco,No,El Jadida,Other,85000.0
Ford,Focus,2000,Good,200 000 - 249 999,Manual,6 CV,Diesel,"['Air Conditioning', 'Electric Windows']",5.0,Customs-cleared car,No,Safi,Hay Anas,58000.0
Mercedes-Benz,190,2024,,Plus de 500 000,Manual,8 CV,Petrol,"['Electric Windows', 'Rear Camera']",,,,Laouamra,Toute la ville,
Maserati,Levante,2017,Very Good,95 000 - 99 999,Automatic,12 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Imported New,Yes,Meknès,Hamria,355000.0
Ssangyong,Rexton,2008,Very Good,190 000 - 199 999,Manual,11 CV,Diesel,"['Alloy Wheels', 'Leather Seats']",5.0,,,Salé,Hay Salam,
Kia,Sportage,2012,Excellent,250 000 - 299 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Kénitra,Ain Sebaa,120000.0
Fiat,GRANDE PUNTO,2009,Very Good,60 000 - 64 999,Manual,5 CV,Diesel,"['Alloy Wheels', 'Leather Seats']",5.0,WW in Morocco,Yes,Ain Aouda,Toute la ville,45000.0
Peugeot,306,1995,Very Good,400 000 - 449 999,Manual,8 CV,Diesel,"['Central Locking', 'Electric Windows']",5.0,WW in Morocco,,Berrechid,Toute la ville,28000.0
BMW,Serie 5,1997,New,25 000 - 29 999,Automatic,11 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking']",5.0,Customs-cleared car,No,Tanger,Aouama Gharbia,36000.0
Fiat,Punto,2011,Excellent,120 000 - 129 999,Manual,7 CV,Petrol,"['Alloy Wheels', 'Rear Camera']",5.0,WW in Morocco,No,Fès,Hay Saada,55000.0
Volkswagen,Jetta,2020,Excellent,80 000 - 84 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Nouaceur,Toute la ville,200000.0
mini,cooper,2003,Good,25 000 - 29 999,Manual,9 CV,Petrol,"['Leather Seats', 'Electric Windows']",,Customs-cleared car,No,Had Soualem,Toute la ville,54000.0
Ford,Fiesta,2019,,110 000 - 119 999,Manual,6 CV,Diesel,"['Alloy Wheels', 'Rear Camera']",,,,Casablanca,Ain Sebaa,
Citroen,C-CROSSER,2013,Good,150 000 - 159 999,Manual,9 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Speed Limiter', 'Parking Sensors']",5.0,WW in Morocco,No,Kénitra,Khabazat,98000.0
Hyundai,Tucson,2020,Excellent,60 000 - 64 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,,Yes,Salé,Sala El Jadida,288000.0
Autres,Autres,2006,Very Good,170 000 - 179 999,Manual,6 CV,Diesel,['Air Conditioning'],,WW in Morocco,,Marrakech,Targa,
Audi,RS4,2018,Very Good,0 - 4 999,Automatic,17 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Imported New,No,Casablanca,Maarif,
Mercedes-Benz,Classe C,2002,Very Good,450 000 - 499 999,Manual,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Salé,Hay Chmaou,68000.0
Dacia,Logan,2016,Very Good,85 000 - 89 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Mohammedia,City Center,90000.0
Kia,Rio,2015,Excellent,160 000 - 169 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Bournazil,88000.0
Volkswagen,Caddy,2019,Excellent,180 000 - 189 999,Manual,8 CV,Diesel,"['Rear Camera', 'Leather Seats']",3.0,WW in Morocco,Yes,Taroudant,Jamaa el Kbir,165000.0
Dacia,Duster,2019,Excellent,100 000 - 109 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Ain Sebaa,150000.0
Mercedes-Benz,220,2016,Excellent,Plus de 500 000,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Meknès,Other,350000.0
Mercedes-Benz,220,1998,Very Good,40 000 - 44 999,Manual,9 CV,Diesel,"['Alloy Wheels', 'Electric Windows']",5.0,Customs-cleared car,No,Temara,Maghreb Arabi,66000.0
Audi,Q3,2020,Excellent,60 000 - 64 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Oulfa,345000.0
Land Rover,Range Rover Evoque,2020,Excellent,95 000 - 99 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Belvédère,
Mercedes-Benz,Classe A,2020,Excellent,100 000 - 109 999,Automatic,8 CV,Diesel,"['CD/MP3/Bluetooth', 'Electric Windows']",5.0,Customs-cleared car,Yes,Agadir,Al Wifaq,390000.0
Toyota,C-HR,2021,Excellent,45 000 - 49 999,Automatic,10 CV,Hybrid,"['CD/MP3/Bluetooth', 'Rear Camera']",5.0,WW in Morocco,Yes,Casablanca,Californie,225000.0
Audi,A3,2009,Excellent,15 000 - 19 999,Manual,8 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Guercif,Toute la ville,115000.0
Fiat,500,2018,Excellent,65 000 - 69 999,Automatic,6 CV,Petrol,"['Rear Camera', 'Leather Seats']",3.0,WW in Morocco,Yes,Casablanca,Oasis,115000.0
Chevrolet,Camaro,2021,Excellent,20 000 - 24 999,Automatic,11 CV,Petrol,"['Rear Camera', 'Rear Camera']",3.0,Customs-cleared car,,Rabat,Massira,
Audi,Q7,2018,Excellent,120 000 - 129 999,Automatic,13 CV,Diesel,"['Electric Windows', 'Alloy Wheels']",5.0,WW in Morocco,Yes,Marrakech,Allal El Fassi,335000.0
Volkswagen,Tiguan,2016,Very Good,20 000 - 24 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking']",,,,Safi,Hay Anas,
Renault,Clio,2013,Very Good,170 000 - 179 999,Manual,7 CV,Petrol,"['ABS', 'Airbags', 'Alloy Wheels']",5.0,WW in Morocco,No,El Jadida,Hay Al Amal,58000.0
Alfa Romeo,Giulietta,2021,Excellent,100 000 - 109 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Californie,195000.0
Land Rover,Range Rover Evoque,2018,Excellent,150 000 - 159 999,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Salé,Hay Salam,265000.0
Seat,Leon,2008,Excellent,250 000 - 299 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Ain Sebaa,85000.0
Citroen,Berlingo,2013,Very Good,190 000 - 199 999,Manual,6 CV,Diesel,"['Electric Windows', 'Rear Camera']",5.0,Car not yet customs-cleared,No,Meknès,Hamria,130000.0
Fiat,TIPO,2019,Very Good,5 000 - 9 999,Manual,5 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning']",5.0,WW in Morocco,No,Settat,Hay Al Kamal,95000.0
Peugeot,308,2011,Very Good,200 000 - 249 999,Manual,6 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Electric Windows']",5.0,Imported New,No,Errachidia,Toute la ville,79000.0
Toyota,Corolla,2005,Very Good,200 000 - 249 999,Manual,8 CV,Diesel,"['CD/MP3/Bluetooth', 'Alloy Wheels']",5.0,WW in Morocco,,Temsamane,Toute la ville,64000.0
BMW,Serie 5,2018,Very Good,100 000 - 109 999,Automatic,8 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Rabat,Other,355000.0
Volkswagen,GOLF 6,2012,Excellent,170 000 - 179 999,Manual,6 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Salé,El Qaria,118000.0
Volkswagen,PASSAT CC,2016,Very Good,190 000 - 199 999,Manual,8 CV,Diesel,"['CD/MP3/Bluetooth', 'CD/MP3/Bluetooth']",5.0,,Yes,Rabat,Hassan,170000.0
Bentley,Bentayga,2022,Excellent,20 000 - 24 999,Automatic,23 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,,Yes,Casablanca,Maarif,
Audi,Q5,2017,Excellent,200 000 - 249 999,Automatic,Plus de 41 CV,Diesel,"['Rear Camera', 'Leather Seats']",5.0,Customs-cleared car,No,Casablanca,Aïn Chock,405000.0
Volkswagen,GOLF 2,1986,Excellent,0 - 4 999,Manual,5 CV,Diesel,"['Leather Seats', 'Rear Camera']",,,,Casablanca,City Center,
DS,DS 3 Crossback,2020,Excellent,75 000 - 79 999,Automatic,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Rear Camera']",5.0,Imported New,No,Casablanca,2 Mars,227000.0
BMW,Serie 3,2019,Excellent,130 000 - 139 999,Automatic,8 CV,Diesel,"['Electric Windows', 'Leather Seats']",5.0,WW in Morocco,Yes,Salé,Old Medina,319000.0
Ford,Kuga,2021,Excellent,100 000 - 109 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,,No,Casablanca,Ain Sebaa,245000.0
Volkswagen,GOLF 4,1999,Very Good,35 000 - 39 999,Manual,8 CV,Petrol,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Sunroof', 'Electric Windows']",5.0,Customs-cleared car,No,Nador,City Center,450000.0
Fiat,500,2022,Excellent,45 000 - 49 999,Automatic,7 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",3.0,WW in Morocco,Yes,Casablanca,Oasis,142000.0
Fiat,Palio,2001,Good,25 000 - 29 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Onboard Computer', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Tahla,Toute la ville,37000.0
Hyundai,ix 35,2013,Excellent,200 000 - 249 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Meknès,Marjane 2,143000.0
Renault,Clio,2008,Very Good,250 000 - 299 999,Manual,7 CV,Petrol,['Electric Windows'],5.0,,No,Tanger,Val Fleuri,48000.0
Hyundai,Santa Fe,2015,Very Good,190 000 - 199 999,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking']",5.0,WW in Morocco,Yes,Fès,Agdal,182000.0
Ford,Focus,2012,Very Good,180 000 - 189 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Parking Sensors', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,,Fès,Agdal,130000.0
Renault,Kangoo,2018,Very Good,130 000 - 139 999,Manual,6 CV,Diesel,"['Electric Windows', 'Leather Seats']",,WW in Morocco,No,Casablanca,Other,136000.0
Renault,Laguna Coupe,2007,New,0 - 4 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Ain Sebaa,65000.0
Jaguar,XF,2019,Excellent,140 000 - 149 999,Automatic,8 CV,Diesel,"['CD/MP3/Bluetooth', 'Rear Camera']",5.0,WW in Morocco,No,Casablanca,Sidi Moumen,285000.0
Seat,Leon,2010,Very Good,190 000 - 199 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Tanger,Ahlane,93000.0
Mitsubishi,L200,2018,Very Good,250 000 - 299 999,Manual,10 CV,Diesel,"['Airbags', 'Leather Seats', 'Electric Windows']",5.0,WW in Morocco,Yes,Agadir,Abattoirs,158000.0
Volkswagen,Tiguan,2018,Excellent,200 000 - 249 999,Automatic,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Navigation System/GPS', 'Sunroof', 'Electric Windows']",5.0,Customs-cleared car,No,Meknès,Zitoune,360000.0
Ford,Fiesta,2016,Excellent,140 000 - 149 999,Manual,6 CV,Diesel,['Alloy Wheels'],5.0,WW in Morocco,No,Kénitra,City Center,98000.0
Renault,19,1993,Excellent,200 000 - 249 999,Automatic,7 CV,Diesel,"['CD/MP3/Bluetooth', 'Alloy Wheels']",5.0,Customs-cleared car,No,Salé,Bab Al Bahr,43000.0
Dacia,Logan,2014,,160 000 - 169 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Rear Camera']",5.0,WW in Morocco,No,Tanger,Al Amal,
Kia,Picanto,2006,Good,170 000 - 179 999,Manual,6 CV,Petrol,"['Alloy Wheels', 'Leather Seats']",5.0,WW in Morocco,No,Tanger,City Center,52000.0
Hyundai,i 40,2012,Excellent,200 000 - 249 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking']",5.0,WW in Morocco,No,Oued Zem,,110000.0
Volkswagen,GOLF 4,2002,Good,400 000 - 449 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'Air Conditioning', 'ESP', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Meknès,La Hacienda,65000.0
Renault,Kangoo,2014,Excellent,140 000 - 149 999,Manual,6 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Berrechid,Toute la ville,105000.0
Renault,Clio,2005,Fair,350 000 - 399 999,Manual,8 CV,Petrol,['Airbags'],5.0,Car not yet customs-cleared,No,Kénitra,Ouled Oujih,39000.0
mini,cooper,2016,Very Good,100 000 - 109 999,Automatic,11 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",3.0,Imported New,No,Casablanca,Aïn Diab,217000.0
Fiat,Uno,1996,Very Good,180 000 - 189 999,Manual,6 CV,Petrol,"['Alloy Wheels', 'Electric Windows']",5.0,Customs-cleared car,,Marrakech,Daoudiate,27000.0
Mercedes-Benz,Classe CLS,2012,Very Good,250 000 - 299 999,Automatic,12 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,Yes,Rabat,Other,220000.0
Ford,Fiesta,2019,Good,130 000 - 139 999,Manual,6 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",,WW in Morocco,,Daoura,Toute la ville,60000.0
Dacia,Dokker,2016,Very Good,200 000 - 249 999,Manual,7 CV,Petrol,"['Leather Seats', 'Rear Camera']",5.0,WW in Morocco,,Casablanca,Sidi Moumen,
