brand,model,engine_size,engine_size_unit,engine_power,engine_power_unit,engine_aspiration,injection_type,year,mileage,mileage_unit,cylinders,body_type,transmission_type,transmission_technology,transmission_gears,energy_source,fuel_type,propulsion_system,drive_type,condition,color,doors,fuel_consumption,fuel_consumption_unit,equipment
mercedes-benz,e class,,,185,kw,,,2014,138000,km,,,automatic,,,,diesel,,,,brown,,5.9,l/100km,"[""leather_seats"", ""panoramic_roof"", ""rear_camera""]"
bmw,3 series,,,180,kw,,,2011,125000,km,,,automatic,,,,petrol,,,,blue,,6.4,l/100km,"[""head_up_display"", ""navigation"", ""rear_camera"", ""sunroof""]"
volkswagen,id.4,,,150,kw,,,2021,53911,km,,,automatic,,,electric,,,,,yellow,,,,"[""navigation""]"
seat,mii,,,44,kw,,,2018,42000,km,,,manual,,,,petrol,,,,white,,4.4,l/100km,"[""air_conditioning""]"
mercedes-benz,gla class,,,115,kw,,,2014,36000,km,,,automatic,,,,petrol,,,,white,,5.8,l/100km,"[""navigation"", ""panoramic_roof"", ""rear_camera""]"
ford,transit,,,103,kw,,,2009,217000,km,,,manual,,6,,diesel,,,,white,,7.4,l/100km,"[""air_conditioning"", ""cruise_control""]"
opel,astra,1.4,,110,kw,turbo,,2017,63000,km,,wagon,manual,,,fossil,petrol,icev,,,white,,5.5,l/100km,[]
opel,crossland x,,,96,kw,turbo,,2019,25290,km,,,automatic,,,,petrol,,,,white,,5,l/100km,"[""navigation"", ""parking_sensors""]"
mercedes-benz,clk,,,170,kw,,,2008,84000,km,,coupe,automatic,,,,petrol,,,,silver,,10,l/100km,[]
seat,ateca,,,110,kw,,,2017,65000,km,,,manual,,,,petrol,,,,grey,,5.4,l/100km,"[""navigation"", ""rear_camera"", ""tow_bar""]"
skoda,octavia,,,125,kw,,,2012,198893,km,,,manual,,,,diesel,,,,blue,,5.7,l/100km,[]
mercedes-benz,c class,,,125,kw,,,2017,84950,km,,,automatic,,,,diesel,,,,silver,,4.3,l/100km,"[""cruise_control"", ""heated_seats"", ""leather_seats"", ""navigation"", ""rear_camera""]"
saab,9-3,2.8,,188,kw,turbo,,2008,209560,km,6,convertible,manual,,,fossil,petrol,,,,blue,,10.6,l/100km,[]
mercedes-benz,c class,,,115,kw,,,2017,156700,km,,,automatic,,,,petrol,,,,white,,5,l/100km,[]
skoda,kodiaq,2,,147,kw,,,2022,16019,km,,,automatic,dct,,fossil,diesel,,ABSTAIN,,blue,,5.9,l/100km,[]
nissan,350 z,,,230,kw,,,2008,95000,km,,convertible,manual,,,,petrol,,,,black,,12,l/100km,[]
audi,q5,,,270,kw,,,2019,72000,km,,,automatic,,,hybrid,,,,,white,,2.1,l/100km,[]
mazda,mazda6,,,121,kw,,,2018,44583,km,,,manual,,,,petrol,,,,black,,6.6,l/100km,[]
ford,kuga,,,132,kw,,,2018,59752,km,,,manual,,,,diesel,,,,white,,6.1,l/100km,[]
seat,leon,,,96,kw,,,2023,2,km,,,manual,,,,petrol,,,,grey,,5.5,l/100km,"[""adaptive_cruise_control"", ""air_conditioning"", ""navigation"", ""parking_assist"", ""parking_sensors"", ""rear_camera""]"
mercedes-benz,glc class,,,190,kw,,,2018,130297,km,,,automatic,,,,diesel,,,,blue,,8.2,l/100km,"[""adaptive_cruise_control"", ""navigation"", ""rear_camera"", ""tow_bar""]"
volkswagen,golf,,,77,kw,,,2014,80000,km,,,manual,,,,diesel,,,,grey,,3.9,l/100km,"[""tow_bar""]"
opel,zafira,,,103,kw,,,2010,115800,km,,,manual,,,,petrol,,,,silver,,7.4,l/100km,"[""air_conditioning"", ""heated_seats"", ""parking_sensors""]"
bmw,3 series,,,225,kw,,,2008,144000,km,,,automatic,,,,petrol,,,,silver,,9.6,l/100km,[]
fiat,ducato,,,103,kw,,,2020,11003,km,,,manual,,,,diesel,,,,white,,,,[]
citroen,c3,,,60,kw,,,2021,57070,km,,,manual,,,,petrol,,,,beige,,4.2,l/100km,"[""bluetooth"", ""dab_radio"", ""parking_sensors""]"
volkswagen,tiguan allspace,,,110,kw,,,2023,10,km,,,automatic,,,,petrol,,,,silver,,6.9,l/100km,"[""navigation""]"
audi,q5,,,195,kw,,,2023,1550,km,,,automatic,,,,petrol,,,,white,,8.9,l/100km,[]
seat,ibiza,,,70,kw,,,2023,3000,km,,,manual,,,,petrol,,,,white,,4.8,l/100km,"[""parking_sensors"", ""rear_camera""]"
renault,kadjar,,,117,kw,,,2019,39200,km,,,automatic,,,,petrol,,,,grey,,5.8,l/100km,[]
renault,trafic,,,88,kw,,,2020,16970,km,,,manual,,,,diesel,,,,beige,,5.5,l/100km,"[""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_mirrors"", ""electric_windows"", ""navigation"", ""power_steering""]"
hyundai,kona,1,,88,kw,,,2019,33900,km,,,manual,,,,petrol,,,,yellow,,,,[]
ford,transit custom,,,77,kw,,,2018,97400,km,,,manual,,,,diesel,,,,silver,,6.8,l/100km,[]
kia,picanto,1.2,,62,kw,,,2017,60000,km,,,automatic,,,,petrol,,,,white,,5.9,l/100km,[]
skoda,superb,2,,140,kw,,,2019,49374,km,,,automatic,dct,,,diesel,,ABSTAIN,,grey,,6.7,l/100km,"[""panoramic_roof""]"
kia,ev6,,,430,kw,,,2023,5000,km,,,automatic,,,electric,,,,,white,,,,"[""adaptive_cruise_control"", ""alloy_wheels"", ""heated_seats"", ""lane_departure_warning""]"
volkswagen,golf,,,173,kw,,,2012,108142,km,,,manual,,,,petrol,,,,black,,8.1,l/100km,[]
audi,q2,,,110,kw,,,2019,30900,km,,,automatic,,,,petrol,,,,white,,6.7,l/100km,"[""rear_camera"", ""tow_bar""]"
skoda,fabia,1.2,,66,kw,,,2016,35000,km,,,manual,,,,petrol,,,,blue,,4.6,l/100km,[]
ferrari,f430,,,375,kw,,,2008,26439,km,,,automatic,,,,petrol,,,,red,,15.7,l/100km,[]
bmw,1 series,,,165,kw,,,2019,36000,km,,,automatic,,,,petrol,,,,grey,,6.2,l/100km,"[""heated_seats"", ""navigation"", ""parking_sensors"", ""sunroof""]"
audi,a4,2.7,,140,kw,,,2010,248000,km,,wagon,automatic,,,,diesel,,,,brown,,6.2,l/100km,[]
opel,zafira,,,103,kw,,,2009,106500,km,,,automatic,,,,petrol,,,,black,,7.4,l/100km,[]
jaguar,f-pace,,,184,kw,,,2018,35015,km,,,automatic,,,,petrol,,,,grey,,8.3,l/100km,[]
volkswagen,golf,,,59,kw,,,2008,111500,km,,,manual,,,,petrol,,,,silver,,6.9,l/100km,"[""air_conditioning""]"
opel,insignia,,,121,kw,,,2018,96950,km,,,manual,,,,petrol,,,,white,,6.1,l/100km,"[""navigation"", ""parking_sensors"", ""rear_camera"", ""tow_bar""]"
volkswagen,polo,1,,66,kw,,,2016,65986,km,,,manual,,,,petrol,,,,black,,,,"[""air_conditioning"", ""alloy_wheels"", ""central_locking""]"
mazda,cx-5,,,110,kw,,,2015,248000,km,,,manual,,,,diesel,,,,white,,4.6,l/100km,"[""air_conditioning"", ""cruise_control"", ""navigation""]"
opel,astra,,,110,kw,,,2016,53300,km,,,manual,,,,petrol,,,,green,,,,"[""cruise_control"", ""dab_radio"", ""heated_seats"", ""navigation"", ""rear_camera""]"
toyota,proace,2,l,110,kw,,,2018,84500,km,,,manual,,,,diesel,,,,brown,,5.4,l/100km,[]
ford,kuga,,,165,kw,,,2021,6000,km,,,automatic,,,hybrid,,phev,,,red,,1.2,l/100km,"[""blind_spot_monitoring"", ""head_up_display"", ""heated_seats"", ""premium_audio"", ""rear_camera""]"
skoda,scala,,,85,kw,,,2020,47424,km,,,manual,,,,diesel,,,,green,,4.1,l/100km,"[""navigation"", ""panoramic_roof""]"
ford,focus,1,,92,kw,,,2019,51000,km,,,automatic,,,,petrol,,,,red,,4.2,l/100km,[]
volkswagen,golf,,,59,kw,,,2006,92000,km,,,manual,,,,petrol,,,,black,,6.9,l/100km,[]
opel,vivaro,,,107,kw,,,2018,128000,km,,,manual,,,fossil,diesel,,,,silver,,,,"[""air_conditioning"", ""navigation""]"
ford,puma,,,114,kw,,,2020,17000,km,,,manual,,,hybrid,,,,,red,,4.4,l/100km,"[""dab_radio"", ""leather_seats"", ""navigation""]"
seat,leon,,,213,kw,,,2017,139700,km,,,automatic,,,,petrol,,,,black,,6.6,l/100km,"[""adaptive_cruise_control"", ""air_conditioning"", ""leather_seats"", ""navigation"", ""rear_camera""]"
dacia,lodgy,,,85,kw,,,2017,60000,km,,,manual,,,,petrol,,,,blue,,5.5,l/100km,"[""bluetooth"", ""navigation"", ""tow_bar""]"
ford,edge,2,,155,kw,,,2017,114600,km,,,automatic,,,,diesel,,ABSTAIN,,grey,,5.8,l/100km,"[""keyless_entry"", ""panoramic_roof""]"
mercedes-benz,c class,,,143,kw,,,2019,81000,km,,,automatic,,,,diesel,,,,silver,,4.7,l/100km,"[""adaptive_cruise_control"", ""alloy_wheels"", ""electric_seats"", ""lane_departure_warning"", ""parking_sensors""]"
volkswagen,golf,,,110,kw,,,2018,74774,km,,,automatic,,,fossil,petrol,icev,,,gold,,5,l/100km,"[""adaptive_cruise_control"", ""parking_sensors""]"
dacia,sandero,,,62,kw,,,2012,97415,km,,,manual,,,,petrol,,,,grey,,6.7,l/100km,[]
smart,fortwo,,,60,kw,,,2018,15700,km,,coupe,automatic,,,electric,,,,,white,,,,[]
ford,fiesta,1.5,,147,kw,,,2020,48000,km,,,manual,,,,petrol,,,,blue,,5.9,l/100km,[]
kia,venga,1.4,,66,kw,,,2013,79000,km,,,manual,,,,petrol,,,,black,,,,[]
mercedes-benz,e class,,,125,kw,,,2010,240000,km,,,manual,,,,diesel,,,,black,,5.2,l/100km,[]
mercedes-benz,e class,,,478,kw,,,2019,84550,km,,,automatic,,,,petrol,,,,grey,,10.8,l/100km,"[""panoramic_roof""]"
opel,corsa,,,66,kw,,,2015,19753,km,,,,,,,petrol,,,,silver,,,,[]
opel,astra,,,110,kw,,,2018,48100,km,,,automatic,,,,petrol,,,,grey,,5.4,l/100km,"[""parking_sensors""]"
renault,clio,,,56,kw,,,2019,5862,km,,,manual,,,,petrol,,,,black,,5,l/100km,"[""air_conditioning"", ""dab_radio"", ""navigation""]"
skoda,superb,,,140,kw,,,2015,112000,km,,wagon,automatic,dct,,,diesel,,,,white,,4.7,l/100km,[]
skoda,scala,,,85,kw,,,2019,79900,km,,,automatic,,,,petrol,,,,black,,5.1,l/100km,"[""adaptive_cruise_control"", ""keyless_entry"", ""panoramic_roof""]"
opel,insignia,,,125,kw,,,2017,128141,km,,,manual,,,,diesel,,,,grey,,6.5,l/100km,[]
ford,kuga,,,165,kw,,,2021,18652,km,,,automatic,,,hybrid,,,,,blue,,1.2,l/100km,"[""alloy_wheels"", ""navigation""]"
opel,corsa,,,63,kw,,,2011,114000,km,,,manual,,,,petrol,,,,black,,5.3,l/100km,[]
mercedes-benz,c class,,,115,kw,,,2019,39000,km,,,automatic,,,,petrol,,,,black,,6.3,l/100km,[]
toyota,c-hr,,,135,kw,,,2022,2200,km,,,automatic,,,hybrid,,,,,blue,,5.2,l/100km,[]
mercedes-benz,c class,,,110,kw,,,2006,229446,km,,,automatic,,,,diesel,,,,silver,,7.3,l/100km,"[""parking_sensors""]"
ford,focus,,,74,kw,,,2006,233999,km,,,manual,,,,petrol,,,,silver,,6.7,l/100km,[]
toyota,corolla,,,90,kw,,,2020,37600,km,,,automatic,,,hybrid,,,,,black,,3.3,l/100km,[]
opel,crossland x,,,96,kw,turbo,,2022,3680,km,,,manual,,,,petrol,,,,white,,4.7,l/100km,"[""dab_radio"", ""heated_seats"", ""parking_sensors"", ""rear_camera""]"
volkswagen,california,,,110,kw,,,2021,33500,km,,,manual,,,,diesel,,,,silver,,6.3,l/100km,[]
seat,alhambra,,,110,kw,,,2019,57500,km,,,automatic,,,,petrol,,,,black,,6.6,l/100km,[]
opel,mokka,,,96,kw,,,2021,9900,km,,,manual,,,,petrol,,,,grey,,4.5,l/100km,[]
seat,arona,,,110,kw,,,2019,36039,km,,,manual,,,,petrol,,,,white,,4.9,l/100km,"[""adaptive_cruise_control"", ""dab_radio"", ""keyless_entry"", ""navigation"", ""parking_sensors""]"
opel,corsa,,,44,kw,,,2006,226000,km,,,manual,,,,petrol,,,,blue,,5.3,l/100km,[]
skoda,kodiaq,,,110,kw,,,2023,10,km,,,automatic,,,,petrol,,,,white,,7.2,l/100km,"[""adaptive_cruise_control"", ""tow_bar""]"
renault,clio,,,66,kw,,,2017,54300,km,,,manual,,,,petrol,,,,white,,,,"[""air_conditioning"", ""navigation""]"
fiat,panda,,,51,kw,,,2023,99,km,,,manual,,,,petrol,,,,black,,4.1,l/100km,[]
kia,sorento,,,169,kw,,,2023,0,km,,,automatic,,,hybrid,,,,,white,,5.4,l/100km,[]
opel,astra,,,81,kw,,,2014,195000,km,,,manual,,,,diesel,,,,black,,4.5,l/100km,"[""navigation""]"
volkswagen,transporter,,,75,kw,,,2002,190320,km,,,manual,,,,diesel,,,,silver,,10.1,l/100km,[]
volkswagen,passat,,,176,kw,,,2014,107400,km,,,automatic,,,,diesel,,,,blue,,5.5,l/100km,[]
volkswagen,golf,,,85,kw,,,2003,180000,km,,,manual,,,,petrol,,,,silver,,6.7,l/100km,[]
toyota,corolla,,,135,kw,,,2022,5000,km,,,automatic,,,hybrid,,,,,silver,,3.7,l/100km,[]
mercedes-benz,glc class,,,143,kw,,,2022,6000,km,,,automatic,,,hybrid,diesel,,,,blue,,,,"[""premium_audio"", ""tow_bar""]"
opel,insignia,,,154,kw,,,2019,38287,km,,,automatic,,,,diesel,,,,black,,7.1,l/100km,[]
hyundai,ABSTAIN,,,62,kw,,,2022,7242,km,,,manual,,,,petrol,,,,red,,5.7,l/100km,"[""dab_radio"", ""heated_steering_wheel""]"
ford,s-max,2,,154,kw,turbo,,2016,126332,km,,,automatic,,,,diesel,,,,white,,5.5,l/100km,[]
mazda,mx-5,2,l,135,kw,,,2023,660,km,,,manual,,,,petrol,,,,grey,,6.9,l/100km,[]
mini,cooper s,,,141,kw,,,2019,31000,km,,,automatic,,,,petrol,,,,black,,5.6,l/100km,"[""adaptive_cruise_control"", ""air_conditioning"", ""alloy_wheels""]"
mercedes-benz,gla class,,,115,kw,,,2019,35000,km,,,automatic,dct,7,,petrol,,,,white,,6.6,l/100km,"[""navigation"", ""panoramic_roof"", ""sunroof"", ""tow_bar""]"
ford,transit custom,2,l,96,kw,,,2022,16000,km,,van,automatic,,,,diesel,,,,yellow,,6.9,l/100km,[]
ford,puma,,,114,kw,,,2022,18990,km,,,manual,,,ABSTAIN,petrol,,,,silver,,5.5,l/100km,"[""navigation""]"
renault,kadjar,,,103,kw,,,2022,22900,km,,,automatic,,,,petrol,,,,blue,,5.6,l/100km,"[""heated_seats"", ""navigation"", ""parking_sensors""]"
mercedes-benz,glc class,,,125,kw,,,2017,72700,km,,,automatic,,,,diesel,,,,silver,,5.9,l/100km,[]
skoda,kodiaq,,,110,kw,,,2018,107400,km,,,automatic,,,,diesel,,,,white,,4.9,l/100km,"[""navigation"", ""parking_sensors""]"
skoda,octavia,2,,110,kw,,,2023,10,km,,wagon,automatic,dct,,fossil,diesel,,,,silver,,4.5,l/100km,"[""air_conditioning"", ""heated_seats"", ""sunroof""]"
ford,mustang,5,,331,kw,,,2021,16000,km,8,coupe,manual,,,,petrol,,,,red,,,,[]
opel,adam,,,51,kw,,,2013,147000,km,,,manual,,,,petrol,,,,blue,,5.3,l/100km,[]
toyota,yaris cross,,,85,kw,,,2022,6500,km,,,automatic,,,hybrid,hydrogen,,ABSTAIN,,gold,,3.2,l/100km,[]
fiat,tipo,1,,74,kw,,,2022,500,km,,,manual,,,,petrol,,,,white,,5.8,l/100km,"[""air_conditioning"", ""apple_carplay"", ""climate_control"", ""navigation""]"
seat,arona,,,81,kw,,,2023,50,km,,,manual,,,,petrol,,,,black,,5.9,l/100km,[]
peugeot,rifter,1.5,,75,kw,,,2023,10,km,,,manual,,,,diesel,,,,white,,4.3,l/100km,[]
ford,ecosport,,,92,kw,,,2016,58700,km,,,manual,,,,petrol,,,,black,,5.4,l/100km,[]
volkswagen,golf plus,,,85,kw,,,2005,105309,km,,,manual,,,,petrol,,,,silver,,7.2,l/100km,[]
audi,tt,,,132,kw,,,2017,44067,km,,roadster,manual,,,,petrol,,,,black,,6.1,l/100km,"[""heated_seats"", ""navigation""]"
volkswagen,polo,1.4,,55,kw,,,2002,193500,km,,,manual,,,,petrol,,,,black,,6.4,l/100km,"[""abs"", ""air_conditioning"", ""heated_seats"", ""power_steering""]"
bmw,3 series,,,105,kw,,,2010,174000,km,,,manual,,,,petrol,,,,blue,,6.3,l/100km,[]
opel,corsa,,,66,kw,,,2019,31535,km,,,manual,,,,petrol,,,,silver,,,,"[""air_conditioning"", ""electric_windows"", ""parking_sensors""]"
bmw,5 series,,,250,kw,,,2019,125000,km,,,automatic,,,,petrol,,,,grey,,7.4,l/100km,"[""alloy_wheels"", ""leather_seats"", ""sunroof"", ""tow_bar""]"
mercedes-benz,slk,,,120,kw,,,2004,69000,km,,convertible,manual,,,fossil,petrol,,,,grey,,8.7,l/100km,[]
lamborghini,aventador,,,552,kw,,,2016,2960,km,,,automatic,,,,petrol,,,,orange,,16,l/100km,[]
skoda,kamiq,1,,81,kw,,,2023,1000,km,,,manual,,,,petrol,,,,white,,5.1,l/100km,"[""rear_camera""]"
hyundai,i30,,,81,kw,,,2023,18,km,,,manual,,,,petrol,,,,silver,,6,l/100km,"[""alloy_wheels"", ""cruise_control"", ""dab_radio"", ""heated_seats"", ""parking_sensors"", ""rear_camera""]"
audi,a6,3,,235,kw,,,2015,208741,km,,wagon,automatic,,,fossil,diesel,,awd,,black,,6.2,l/100km,"[""alloy_wheels""]"
audi,a3,1.4,,110,kw,,,2015,113869,km,,convertible,automatic,,,,petrol,,,,grey,,4.9,l/100km,[]
audi,a4,,,110,kw,,,2019,49800,km,,,automatic,,,,diesel,,,,blue,,4.4,l/100km,[]
jeep,renegade,,,88,kw,,,2023,99,km,,,manual,,,,petrol,,,,grey,,6.1,l/100km,"[""apple_carplay"", ""navigation""]"
ford,mondeo,,,110,kw,,,2019,123131,km,,,automatic,,,,diesel,,,,grey,,5.2,l/100km,"[""navigation"", ""parking_sensors"", ""rear_camera""]"
skoda,fabia,,,55,kw,,,2016,44700,km,,,manual,,,,petrol,,,,white,,4.8,l/100km,[]
renault,kadjar,,,81,kw,,,2018,94506,km,,,automatic,,,,diesel,,,,black,,3.8,l/100km,"[""navigation"", ""rear_camera""]"
mercedes-benz,e class,,,125,kw,,,2006,166500,km,,,automatic,,,,diesel,,,,silver,,7.1,l/100km,"[""air_conditioning"", ""tow_bar""]"
dacia,dokker,,,75,kw,,,2019,53300,km,,,manual,,,,petrol,,,,white,,6.8,l/100km,"[""cruise_control"", ""navigation""]"
bmw,x5,,,225,kw,,,2012,171900,km,,,automatic,,,,petrol,,,,black,,10.1,l/100km,"[""adaptive_cruise_control""]"
mercedes-benz,c class,,,143,kw,,,2019,65600,km,,,automatic,,,,diesel,,,,silver,,6.1,l/100km,"[""adaptive_cruise_control"", ""navigation""]"
volkswagen,golf,,,96,kw,,,2019,37500,km,,,manual,,,,petrol,,,,black,,4.8,l/100km,[]
skoda,octavia,,,110,kw,,,2023,20,km,,,automatic,,,,petrol,,,,silver,,5.5,l/100km,"[""navigation""]"
kia,cee'd,,,118,kw,,,2021,22800,km,,,manual,,,,petrol,,,,silver,,5.5,l/100km,"[""heated_seats"", ""navigation"", ""parking_sensors"", ""rear_camera""]"
audi,q5,2,,185,kw,,direct,2017,41560,km,,,automatic,,,fossil,petrol,,awd,,white,,,,"[""heated_seats"", ""navigation""]"
volvo,v90,,,173,kw,,,2018,48700,km,,,automatic,,,,diesel,,,,grey,,,,[]
toyota,auris,,,100,kw,,,2016,108800,km,,,automatic,,,hybrid,ABSTAIN,,,,red,,3.5,l/100km,[]
mercedes-benz,a class,,,115,kw,,,2013,100000,km,,,manual,,,,petrol,,,,silver,,5.5,l/100km,[]
opel,zafira,1.6,,100,kw,,,2015,184000,km,,,manual,,,,diesel,,,,grey,,3.9,l/100km,[]
mercedes-benz,sprinter,,,80,kw,,,2008,320000,km,,,manual,,,,diesel,,,,white,,,,[]
toyota,yaris,,,192,kw,,,2021,28490,km,,,manual,,,,petrol,,,,black,,8.2,l/100km,[]
audi,a1,,,110,kw,,,2023,6000,km,,,automatic,,,,petrol,,,,blue,,6.3,l/100km,[]
mini,countryman,,,105,kw,,,2012,126008,km,,,automatic,,,,diesel,,,,black,,4.8,l/100km,[]
volkswagen,polo,,,44,kw,,,2000,91800,km,,,manual,,,,petrol,,,,blue,,6.1,l/100km,"[""air_conditioning"", ""heated_seats""]"
dacia,duster,,,74,kw,,,2020,16000,km,,,manual,,,,petrol,,,,silver,,6.5,l/100km,"[""air_conditioning"", ""navigation"", ""parking_sensors"", ""rear_camera""]"
mercedes-benz,c class,,,150,kw,,,2013,73000,km,,,automatic,,,,petrol,,,,grey,,6.4,l/100km,[]
volkswagen,up!,,,61,kw,,,2020,13400,km,,,automatic,,,electric,,,,,black,,,,"[""air_conditioning"", ""alloy_wheels"", ""navigation"", ""parking_sensors"", ""rear_camera""]"
mercedes-benz,cla class,,,115,kw,,,2014,114100,km,,,automatic,,,,petrol,,,,black,,5.7,l/100km,"[""heated_seats"", ""leather_seats"", ""navigation"", ""rear_camera""]"
jeep,renegade,,,103,kw,,,2018,109600,km,,,manual,,,,diesel,,,,grey,,,,"[""dab_radio"", ""navigation""]"
dacia,sandero,,,55,kw,,,2010,137000,km,,,manual,,,,petrol,,,,,,5.9,l/100km,"[""air_conditioning""]"
opel,crossland x,,,96,kw,,,2021,11950,km,,,automatic,,,,petrol,,,,grey,,4.9,l/100km,"[""navigation""]"
mercedes-benz,m class,,,165,kw,,,2005,304705,km,,,automatic,,,,diesel,,,,silver,,9.6,l/100km,[]
bmw,5 series,,,180,kw,,,2010,184525,km,,sedan,automatic,,,,diesel,,,,grey,,6.1,l/100km,"[""head_up_display"", ""leather_seats"", ""sunroof"", ""tow_bar""]"
bmw,1 series,,,100,kw,,,2016,22600,km,,,manual,,,,petrol,,,,red,,,,[]
audi,a8,,,283,kw,,,2013,205000,km,,,automatic,,,,diesel,,,,black,,7.4,l/100km,[]
nissan,qashqai,1.3,,103,kw,,,2019,104000,km,,,manual,,,,petrol,,,,white,,5.3,l/100km,[]
peugeot,407,,,103,kw,,,2007,130230,km,,,automatic,,,,lpg,,,,grey,,8.6,l/100km,"[""cruise_control"", ""tow_bar""]"
mazda,mx-5,,,93,kw,,,2012,152000,km,,,manual,,,,petrol,,,,silver,,,,[]
volkswagen,golf,,,77,kw,,,2013,57080,km,,,manual,,,,diesel,,,,blue,,4.2,l/100km,"[""air_conditioning"", ""heated_seats"", ""parking_sensors""]"
audi,a4,2,,140,kw,,,2017,96000,km,,,manual,,,,diesel,,,,black,,4.3,l/100km,[]
toyota,c-hr,,,135,kw,,,2020,20757,km,,,automatic,,,hybrid,,,,,blue,,,,"[""navigation"", ""rear_camera""]"
mercedes-benz,c class,,,125,kw,,,2015,127572,km,,,automatic,,,,diesel,,,,grey,,,,"[""leather_seats"", ""navigation"", ""sunroof"", ""tow_bar""]"
mini,cooper,,,100,kw,,,2022,3700,km,,,manual,,,fossil,petrol,,,,red,5,5.3,l/100km,"[""dab_radio"", ""head_up_display"", ""heated_seats"", ""navigation"", ""parking_sensors"", ""rear_camera""]"
opel,mokka x,,,103,kw,,,2018,111678,km,,,manual,,,,petrol,,,,silver,,6.6,l/100km,"[""heated_seats"", ""navigation"", ""parking_sensors""]"
hyundai,i20,,,74,kw,,,2020,35000,km,,,manual,,,,petrol,,,,white,,5.9,l/100km,[]
toyota,proace,,,130,kw,,,2023,10,km,,,automatic,,,,diesel,,,,brown,,5,l/100km,"[""heated_seats"", ""navigation"", ""parking_sensors""]"
ford,transit,,,103,kw,,,2013,200000,km,,,manual,,,,diesel,,,,blue,,,,[]
bmw,3 series,,,95,kw,,,2005,193000,km,,,manual,,,,petrol,,,,grey,,,,[]
ford,fiesta,,,51,kw,,,2008,89000,km,,,manual,,,,petrol,,,,black,,6.1,l/100km,[]
ford,kuga,2,,140,kw,,,2022,4210,km,,,automatic,,,,diesel,,4wd,,silver,,6.4,l/100km,[]
volkswagen,caddy,,,75,kw,,,2012,175000,km,,,manual,,,,diesel,,,,blue,,5.7,l/100km,"[""alloy_wheels"", ""heated_seats"", ""navigation"", ""parking_sensors""]"
audi,q5,2,,140,kw,,,2016,144000,km,,,automatic,,,,diesel,,awd,,grey,,5.7,l/100km,"[""leather_seats"", ""navigation"", ""panoramic_roof""]"
peugeot,3008,,,132,kw,,,2020,23100,km,,,automatic,,,,diesel,,,,black,,4.9,l/100km,"[""navigation"", ""rear_camera""]"
volkswagen,passat,,,85,kw,,,2001,70602,km,,,automatic,,,,petrol,,,,silver,,8.4,l/100km,[]
bmw,3 series,,,103,kw,,,2000,170000,km,,,manual,,,,petrol,,,,black,,8,l/100km,[]
opel,astra,1,,77,kw,turbo,,2018,121000,km,,wagon,manual,,,fossil,petrol,icev,,,silver,,4.6,l/100km,[]
audi,a5,,,180,kw,,,2015,91400,km,,convertible,automatic,,,,diesel,,awd,,green,,5.9,l/100km,"[""adaptive_cruise_control""]"
hyundai,kona,1,,88,kw,,,2019,31700,km,,,manual,,,,petrol,,,,black,,5.3,l/100km,"[""alloy_wheels"", ""heated_seats"", ""navigation"", ""rear_camera""]"
audi,a4,,,110,kw,,,2017,50817,km,,,automatic,,,,petrol,,,,blue,,5.7,l/100km,"[""alloy_wheels"", ""navigation""]"
skoda,fabia,1.2,,63,kw,,,2014,112500,km,,wagon,manual,,,,petrol,,,,grey,,5.2,l/100km,[]
volkswagen,transporter,,,132,kw,,,2014,196000,km,,van,automatic,,,,diesel,,,,silver,,7.5,l/100km,[]
skoda,superb,,,140,kw,,,2016,89300,km,,,automatic,,,,diesel,,,,black,,5.1,l/100km,[]
mercedes-benz,m class,,,165,kw,,,2008,195000,km,,,automatic,,,,diesel,,,,white,,9.4,l/100km,[]
opel,insignia,,,121,kw,turbo,,2017,65516,km,,,manual,,,,petrol,,,,silver,,6,l/100km,"[""air_conditioning"", ""parking_sensors"", ""rear_camera""]"
volkswagen,caddy,1.4,,96,kw,,,2019,75150,km,,,automatic,dct,,,petrol,,,,grey,,5.9,l/100km,[]
volkswagen,touran,,,140,kw,,,2017,67000,km,,,automatic,,,,diesel,,,,orange,,4.7,l/100km,"[""navigation"", ""panoramic_roof""]"
renault,express,1.3,,75,kw,,,2023,18,km,,van,manual,,,fossil,petrol,,,,grey,,6.4,l/100km,"[""air_conditioning"", ""bluetooth"", ""dab_radio""]"
mercedes-benz,clk,,,165,kw,,,2006,169000,km,,convertible,automatic,,,,diesel,,,,black,,7.7,l/100km,"[""leather_seats"", ""navigation"", ""parking_sensors""]"
mercedes-benz,c class,,,150,kw,,,2016,107796,km,,,automatic,,,,diesel,,,,white,,4.3,l/100km,[]
mercedes-benz,c class,,,375,kw,,,2021,24763,km,,,automatic,,,,petrol,,,,silver,,,,[]
opel,insignia,,,125,kw,,,2017,116000,km,,,manual,,,,diesel,,,,black,,5.3,l/100km,[]
volkswagen,beetle,1.6,,75,kw,,,2003,158000,km,,convertible,manual,,,fossil,petrol,,,,blue,,7.8,l/100km,[]
mercedes-benz,glc class,,,155,kw,,,2021,22400,km,,,automatic,,,,petrol,,,,blue,,7.3,l/100km,[]
volkswagen,t-roc,,,85,kw,,,2018,75903,km,,,manual,,,,petrol,,,,blue,,5.2,l/100km,"[""adaptive_cruise_control"", ""navigation"", ""parking_sensors"", ""tow_bar""]"
